,doc_id,doc_text,KILL,ARREST,ANY_ACTION,FAIL,FORCE
0,11,"This story is from March 10, 2002

lucknow: the all-india babri masjid action committee (aibmac) has sought a ban on vhp-sponsored march 15 programme at the acquired land in ayodhya. holding a state-level meeting on saturday, aibmac convenor jafrayab jilani said that the proposed â€˜bhoomi pujanâ€™, even if it was symbolic, would be in violation of the supreme court status quo order. â€œwe demand a ban on the vhp programme as it is in clear violation of the supreme court order,â€� he said. about 60 members from aibmac district units, including mathura and varanasi, participated in the lucknow meeting. the vhp-sponsored â€˜bhoomi pujanâ€™ on march 15 in ayodhya and the proposed transfer of land to the ram janambhoomi nyas by the centre were on the agenda for discussion. the meeting also discussed a demand for permission to muslims to â€œoffer namaz and re-building babri mosqueâ€� since the same concessions were proposed to be given to the majority community members.â€œbut the demand was dropped as it too was in violation of the supreme court order,â€� said the aibmac convenor. the aibmac will hold statewide demonstration if the vajpayee government gave permission for the march 15 programme and transferred acquired land to begin the temple construction. â€œif permission was granted then we will be left with no alternative than to move the supreme court seeking a ban on their programmes,â€� warned jilani charging the central government with not fulfilling its constitutional duties. the aibmac is awaiting the outcome of the all-india muslim personal law board meeting in delhi tomorrow before initiating any legal proceedings. it will meet again on march 14 to decide their future course of action on both the contentious issues.",0,0,0,0,0
1,12,"This story is from March 10, 2002

new delhi: the bjp-led central government has begun exploring the possibility of permitting â€˜bhoomi pujaâ€™ at ayodhya, after the kanchipuram shankaracharya on thursday night promised a high-level meeting chaired by the prime minister that, if allowed, he would ensure the ceremony would be â€˜â€˜symbolic, without building materials, carved pillars or concentration of karswewaksâ€™â€™. the shankaracharya has already conveyed this to the all-india muslim personal law board, and said that the question of handing over the so-called undisputed land will be dealt with after march 15, but their response is forthcoming. government sources said besides ensuring the security situation in ayodhya was conducive, muslim approval was essential to â€˜â€˜sellâ€™â€™ the â€˜pujaâ€™ to the bjpâ€™s allies and the opposition. meanwhile, vhp cadres have not taken kindly to ashok singhalâ€™s promise in his capacity as managing trustee of the ramjanmabhomi nyas that the court verdict in the ayodhya case would be obeyed. the promise may have made it possible for the government to consider allowing the â€˜pujaâ€™, but vhp cadres see it as a sell-out. and so on friday, vhpâ€™s international president vh dalmia took two steps back: he said the vhp would obey the court verdict, but if it went against the rjn, the â€˜dharmacharyasâ€™ would decide the next step. asked if he was not contradicting singhalâ€™s statement on thursday that if the verdict went in favour of the muslims, the garbha griha (sanctum sanctorum) location would be changed, he evaded a direct reply, only repeating that he was certain the verdict would be favourable to the rjn. much spadework behind the scenes is understood to have been done by spiritual leader sri sri ravi shankar. the guru reportedly held extensive discussions with vhp leader ashok singhal and persuaded him to give the clearest possible written commitment that his organisation will abide by the court verdict. sri sri ravi shankar is also said to be holding parleys with a cross section of muslim leaders to find a durable settlement to the ayodhya crisis. while dalmia began the â€˜â€˜damage controlâ€™â€™ process, vhp joint general secretary onkar bhave said the â€˜bhoomi pujanâ€™ would be incomplete without shifting building materials, carved pillars and at least 2,000 karsewaks. â€˜â€˜we are still bargaining with the government on this,â€™â€™ he said and added that the vhp still wanted an assurance on the handing over of the acquired land before march 15. simultaneously, 14 bjp mps from up held out a veiled threat of confrontation with the government. in a letter to the pm on thursday, they said the â€˜â€˜anger among people is increasing, and soon it would be manifested against governmentâ€™s hitler-like tactics on streets.â€� minister hints at lifting of curbs.",0,0,0,0,0
2,13,"This story is from March 12, 2002

gandhinagar: gujarat legislative assembly would meet again on wednesday after a gap of 11 days following the godhra carnage and subsequent large scale violence in the state. the house was adjourned on february 28 till march 4 after paying homage to the people killed in sabarmati train attack and the sitting was later postponed due to the violence in the state in the aftermath of the godhra killings. the budget session of the house, which started on february 26, would last till march 31. the state budget for the year 2002-2003 was presented in the house on february 27. the house would take up other business of the session including the debate on the governor''s address and the demands of the different departments, official sources said. meanwhile, assembly speaker dhirubhai shah has gone to london to attend a meeting of the commonwealth parliamentary association as a representative of india.",0,0,0,0,0
3,16,"This story is from March 1, 2002

lucknow: the vishwa hindu parishad (vhp) on thursday gave a call for a countrywide bandh on march 1 in wake of the ghastly torching of ram sevaks in godhra (gujarat). the organization said it would abide by the courtâ€™s decision on the ayodhya issue, while simultaneously maintaining that transportation of the carved pillars to the disputed site would begin on march 15. it has also announced the holding of â€˜shraddhanjali sabhasâ€™ from february 28 to march 3 at all district headquarters of the vhp. one such sabha was held in lucknow on thursday. addressing a press conference, the vhp kshetriya sangathan mantri and up-uttaranchal in-charge purshottam narain singh said the organization and the sant samaj would abide by the courtâ€™s directives on the controversial ayodhya issue and in the same breath said that one lakh ram sevaks would begin the task of transporting pillars from march 15, the deadline set by the vhp for temple construction. he added that the ruling of the court should come soon and expressed confidence that it would be in favour of the vhp. however, singh tied himself in knots when he said that muslims were responsible for setting fire to three bogies of the sabarmati express which resulted in the death of 14 children, 16 women and 27 men, but could not explain what enabled him to come to the conclusion. by way of explanation he said the incident was part of a pre-conceived conspiracy as the incident took place after the train had passed through a muslim-dominated area. the vhp leader slammed prime minister atal behari vajpayee and union home minister lk advani for asking the vhp to take the â€˜andolanâ€™ back and for placing obstacles in the movement of the ram sevaks, but maintained a studied silence when queried if the stand of the two leaders on vhpâ€™s ayodhya andolan was anti-hindu. he also came down heavily on caretaker chief minister rajnath singh for sealing the borders of ayodhya and putting the ram sevaks to great hardship. he remarked that the present atmosphere in the temple town was reminiscent of the times of mulayam singh yadav.",0,0,0,0,0
4,27,"surat: the overall situation in the curfew-bound nine police station areas in the city and other parts of the district was well under control during tuesday night, police said here on wednesday. earlier, over 50 persons were arrested following vigorous combing operation, carried out on tuesday during the curfew relaxation period in most sensitive athwa and limbayat police station areas, police said adding, the search yielded recovery of large number of lethal weapons and stones from some places. these persons were arrested for possessing illegal lethal weapons under arms act, police added. police had fired ten rounds in the air to scare away the unruly mob, allegedly pelting stones last night in limbayat area and also lobbed five tear gas shells to control the situation. however, due to marked improvement in this sensitive city, the curfew was relaxed for the day from 7.00 am this morning to 8.00 pm, the sources added. meanwhile, in trouble-torn bardoli taluka town under surat rural police jurisdiction, night curfew continued where the overall situation is peaceful for the third successive night, police added. related storiesÂ narendra modi visits riot-hit areas Â police reports name vhp, bjp leadersÂ ''he made 200 phone calls for help''Â pray for peace in gujaratÂ gujarat riots: the story so farÂ Â Â full coverage  

Facebook Twitter Linkedin Mail",0,1,1,0,1
5,29,"This story is from March 8, 2002

lucknow: even though the vhp has given in writing to maintain status quo at the disputed land in ayodhya, no one is ready to take the vhp undertaking seriously. there are several instances in the past, including demolition of babri mosque on december 6, 1992, when the vhp did a volte-face. contradicting statements emanating from the vhp camp are only adding to the confusion. a senior vhp leader, who was part of crucial deliberations in delhi, himself admitted this when he told the times news service that â€œthe agreement does not hold any meaning until signed by the prime minister and others involved in delhi talks.â€� and no written agreement has so far reached in this regard. â€œwhy should we take talks seriously then?â€� quipped the vhp leader. in fact, through the undertaking, the vhp seems to have laid a trap for the prime minister so that vajpayee is forced to get clearance from nda allies for handing over the 43-acre undisputed land to the ram janambhoomi nyas (rjn) by june 2, the last day of 100-day ongoing â€˜purna ahuti yajnaâ€™. and vhp undertaking is not for a song. the barter is that the pmo would expedite the ayodya court cases and agree to accept their three main demands viz â€” symbolic â€˜shila pujanâ€™ at the undisputed land on march 15; handing over of 43-acres of undisputed land by june 2 and withdrawal of forces/lifting of ban on entry of ramsevaks in temple town. the vhp gameplan is to start the temple construction on 43-acres of land so even if court verdict goes against them, the physical possession of the disputed land remains with them. â€œthe prime minister had gone back from his words once. we want to put everything in black and white this time so that the entire nation comes to know who backtracks,â€� disclosed the senior vhp functionary pointing to pmâ€™s lies on so-called earlier talks. the delhi declaration is yet to be signed and made official. but vhp is not relying on what went on in delhi in the last three days. senior vhp leaders have been directed to rush to the temple town to go-ahead with arrangements for march 15 programme of taking carved pillars to the disputed site. however, the vhp would take a final decision on the march 15 programme in a meeting of 51-member mandir nirman samiti to be held in ayodhya a day before. â€œwhether or not we perform symbolic â€˜shila pujanâ€™ or take all carved pillars to the disputed site as originally planned, will be decided by the samiti members on march 14 after taking into consideration the response from the pmo on our three demands,â€� warned the vhp leader. the veiled vhp threat is a serious concern for all. in the past too they had gone back from their promises. â€œpeople of the nation have not forgotten 1992 babri mosque demolition. how could they be trusted?â€� points jafrayab jeelani, convener all-india babri masjid action committee. â€œmembers of the the mandir nirman samiti would perform the â€˜pujanâ€™ to purify the land. â€˜shila pujanâ€™ would begin once carved pillars are consecrated at the temple construction site,â€� disclosed a vhp fuctionary about march 15 programme. the vhp has cleverly turned the table on the prime minister â€” a 1990-like confrontation or a peaceful symbolic â€˜shila pujanâ€™ on march 15 â€” vajpayee has to select one of the two conditions. and either way, the vhp seems to have scored over others during delhi negotiations, turning its face-saver into a victory even after a climb down.",0,0,0,0,0
6,33,"ahmedabad: the violence-hit state of gujarat was gradually returning to normal prompting authorities to focus on relief of 56,000 people rendered homeless in the communal orgy. army continued to patrol sensitive areas, though no major untoward incident was reported from riot-affected districts of panchmahal, surat, baroda, ahmedabad, sabarkantha, mehsana, banaskantha and kheda in the last 24 hours, police said. the curfew, which was imposed in over 40 places, was being gradually relaxed, though night curfew remained in force as a precautionary measure, they said. in ahmedabad city, night curfew was in force in five police station areas, police added. rising steadily, the toll now stands at 667, including the 62 persons who died in the attack on the sabarmati express on february 27. two persons were stabbed in ahmedabad on thursday one of whom later succumbed to injuries, showing that the violence which entered its second week was still far from over. the stabbings took place on relief road, one of the busiest market places of the city. official sources said the death toll in the attack on the train at godhra had risen from 58 to 62 with the death of four persons who were seriously injured in the attack which sparked off widespread reprisals across the state. figures available at the police control room in the state capital state that 820 persons with serious injuries were still admitted to various hospitals, many of them in a critical condition. almost 157 of the deaths have taken place in stabbings and the rest have succumbed to burn injuries and gun- shots. ten bodies were recovered from a village well at ajanwaga in godhra district on wednesday. the victims were reportedly taking shelter in a primary school when they were surrounded by a mob and thrown into the well. official statistics say that 99 persons have been killed in police firing. the security forces have fired 5,176 rounds of ammunition on mobs as well as 7,276 teargas shells. as many as 2,459 houses, 2,082 shops, 1,084 cabins and 448 vehicles, including 12 buses, have been set on fire. additional chief secretary ashok narain said: ""the toll is going to be higher because more bodies are being found."" at the same time, the situation is largely quiet in gujarat over the last two days, but for stray incidents of violence in ahmedabad and other parts of central gujarat. in the chota udepur area of vadodara district, where a policeman who was escorting some families to safety was shot by his own rifle by a mob on tuesday, the situation is said to be still very tense. a spokesman for the army''s corps of electrical and mechanical engineers (eme), which is deployed in vadodara, said one column of the army was sent to chota udepur on thursday evening to control the situation on the request of the state government. the sudden spurt in the death toll from 544 to 607 between wednesday and thursday is the result of many more bodies having been found in godhra and the count being revised in ahmedabad. official figures suggest that in ahmedabad, as many as 28 more deaths have been added to the tally during the 24 hours, taking the total death toll in the communal flare- up in the city alone from 243 to 271. but there was no official explanation available for this upward revision. in godhra, the figure was up from 59 dead on wednesday to 69 on thursday. this excludes the 58 dead in the train burning incident. in sabarkantha, the figure of those dead has gone up from 30 to 34. well-placed sources said bodies in isolated rural areas still remain to be searched. related storiesÂ gujarat gradually returns to normalcyÂ choice of judge for probe opposedÂ gujarat congress wants modi booked under poto  

Facebook Twitter Linkedin Mail",1,0,1,0,1
7,37,"This story is from March 7, 2002

kolkata: the first casualty of the left frontâ€™s protest is invariably the people of kolkata. the leftists, protesting the ayodhya crisis and gruesome events of gujarat, organised two rallies, on wednesday, bringing traffic to a halt and inviting snide remarks from the bjp. left front chairman biman bose read out a resolution before front supporters at the shahid minar maidan, after which the two rallies wound their ways through the streets, one to the north and the other to the south, throwing the afternoon traffic completely out of gear. interestingly, bimanâ€™s resolution avoided any direct mention of the communal killings in gujarat, except for one reference to the godhra incident which they described as â€œheart-rending and of grave concern.â€� instead, in a rather indirect reference, the resolution held kar sevaks responsible for â€œsome recent incidents and tension.â€� the resolution said that the gujarat government was helping kar sevaks reach ayodhya. â€œsuch an assembly can never be said to be for religious purposes.â€� as there was no popular government in uttar pradesh, the centre must direct the state government to keep the situation in ayodhya under control. reacting to the rallies, state bjp president ashim ghosh said that it was â€œstrangeâ€� that the front had organised protests condemning the gujarat incidents, but had never reacted to the repeated cycle of violence in jammu and kashmir. he termed the rallies organised by the left front a â€˜political move.â€™ putting up a rather weak defence of the gujarat governmentâ€™s role in preventing violence, ghosh said that the attack on sabarmati express was so â€˜suddenâ€™ that the local administration was caught off guard. bjp on budget the west bengal unit of the bjp is on the defensive on some of the proposals in this yearâ€™s union budget. on wednesday, it sent a request to union finance minister yashwant sinha that these proposals be rolled back. state bjp president ashim ghosh told reporters in kolkata that the state unit of the party had held a number of seminars on the budget. people were clearly unhappy. â€œit is on the basis of the feedback from these seminars that we have sent our proposals to the finance minister.â€� the state bjp demanded that the increase of rs 40 in gas cylinder prices be reduced to rs 20, the price rise by five per cent on urea and by rs 1.50 on a litre of kerosene be withdrawn and special interest rates be announced for pensioners and â€œhard pressed peopleâ€�. â€œwe are hopeful that the finance minister will consider the proposal if different states make similar requests. he may announce a rollback while replying to the debate on his budget,â€� he said. though he stressed that the cutback in subsidies was in accordance with the terms of the wto agreement, â€œa process which had started during the previous regimeâ€�. observers said the state bjp unit was finding the budget uncomfortable because it had hit the rural population hard.  ",0,0,0,0,0
8,47,"new delhi: the uncertain political situation in up, which is under the central rule despite a new legislative assembly having already been elected, may settle for good two controversial issues. one, whether the governor is under an obligation to invite the leader of the single largest legislative party alone to form the government. two, whether the sc judgment in the s r bommai case is the only yardstick to gauge the situation to impose president''s rule under article 356 of the constitution. the bommai judgment had come on a batch of petitions challenging the constitutional validity of dissolving the assemblies of four bjp-ruled states in the aftermath of the demolition of ayodhya mosque. the states so brought under central rule had duly elected leader of the legislative party. certain states did not have any law and order problem, yet its dissolution was upheld by the court. ""any state government which pursues unsecular policies or unsecular course of action acts contrary to the constitutional mandate and renders itself amenable to action under article 356,"" the constitution bench had ruled. but, governor vishnu kant shastri''s recommendation for president''s rule in a situation, which was hypothetical during the bommai case hearing, can be challenged but without ""legally sustainable arguments"", says lawyer c s vaidhyanathan. ""there can be no ground to seek the court''s intervention against president''s rule in up...the decision cannot be challenged as mala fide as shastri has offered equal opportunity to all the leaders to form he government,"" agrees another lawyer, ashok arora. similarly, senior advocate vishwa nath saraf says:""the facts and circumstances which led to the bommai judgment were different. the principles laid down in the bommai judgment such as of the floor test to judge the majority cannot be applied in up as leaders of different political parties have to prima facie satisfy the governor that they yield requisite support."" since coalition governments are no more alien to the parliamentary form of democracy, the up case may well negate the argument that leader of the single largest legislative party alone can and should be allowed to form the government. though bsp is the third largest party, its leader, mayawati, who has resigned from lok sabha, may still be invited to form a ""stable"" government if she satisfies the governor that she has the support of the bjp and some other legislators. if mayawati is invited, it would establish that it is not the prerogative of the leader of the single largest party alone to form the government. and that the governor is under no constitutional obligation to invite such a leader who cannot satisfy him that he can form a stable government. that the floor of the house has to be the sole ground to test the strength may be the only requirement, where a government is already formed, but that may not be permissible when a leader merely claims that he would be able to form a ""stable"" government.

Facebook Twitter Linkedin Mail",0,0,0,0,0
9,5,"new delhi: the supreme court will issue a correction to its wednesday''s order pertaining to ayodhya case in which it ruled status quo and disallowed religious activities on the acquired land. the three-judge bench, comprising justice b n kirpal, justice g b pattanaik and justice v n khare, on thursday morning summoned attorney-general soli sarobjee and expressed their view about carrying out some appropriate correction in the order. sorabjee submitted that the matter be listed for hearing at 2 pm on thursday to enable all the concerned parties to be present.

Facebook Twitter Linkedin Mail",0,0,0,0,0
